curveY,curveX,end point?,Place Count,place id,Rank,startY
-0.590008921,-26.522734177,伪,32,451,12,-28
65.499539780,158.088101266,伪,43,88,2,65.5
18.700996244,-44.641,伪,30,510,14,-46.5
-46.492747775,107.292658228,伪,30,525,14,-46.5
-46.499997733,146.919848101,伪,30,514,14,-46.5
6.117000087,-51.073329114,伪,39,246,6,38
21.091934010,139.057594937,伪,41,179,4,54
22.454951115,-32.735202532,伪,30,563,16,-60
19.855001462,-47.718278481,伪,43,65,2,65.5
18.917440243,14.755126582,伪,30,534,15,-54
-21.535359304,158.379746835,伪,32,466,12,-28
-46.499947443,130.919037975,伪,30,517,14,-46.5
17.838971918,123.011481013,伪,53,49,1,70
53.999976377,138.359493671,伪,41,157,4,54
53.999897881,133.589721519,伪,41,170,4,54
18.452001467,-33.956962025,伪,53,39,1,70
-46.483819745,96.787341772,伪,30,512,14,-46.5
5.999994968,141.855860759,伪,35,356,9,6
16.689927222,23.574683544,伪,30,512,14,-46.5
20.519384240,-5.189518987,伪,30,505,14,-46.5
35.112999635,-62.155417722,伪,31,474,13,-37.5
53.999999799,166.871227848,伪,41,160,4,54
16.509002596,-36.518202532,伪,39,266,7,28.5
21.771999938,-70.459759494,伪,30,503,14,-46.5
9.320983276,-25.035240506,伪,30,549,15,-54
6.000000502,142.749974684,伪,35,345,9,6
37.997160785,111.245987342,伪,39,247,6,38
11.992891610,123.677341772,伪,40,208,5,47
14.705617856,52.797113924,伪,39,279,7,28.5
-17.496973391,154.101063291,伪,33,433,11,-17.5
54.309872502,157.673670886,伪,42,132,3,60.5
13.098276579,126.335,伪,31,497,13,-37.5
9.530770344,39.543708861,伪,39,243,6,38
53.965023379,102.945670886,伪,41,169,4,54
13.170080810,133.124341772,伪,35,366,9,6
5.454691019,51.415949367,伪,33,387,10,-5.8
65.499158312,133.171,伪,43,82,2,65.5
23.565153931,26.374886076,伪,30,566,16,-60
8.946825839,134.169746835,伪,39,296,7,28.5
33.745999969,-81.429012658,伪,30,531,15,-54
10.830473713,149.176936709,伪,35,365,9,6
-53.999997410,158.118734177,伪,30,552,15,-54
21.396304514,27.260075949,伪,39,230,6,38
2.950000019,-63.212025316,伪,43,77,2,65.5
69.999992555,140.497430380,伪,53,20,1,70
-53.977026000,88.155227848,伪,30,532,15,-54
38.171988707,9.973594937,伪,35,362,9,6
6.000403963,104.510848101,伪,35,341,9,6
6.000850177,99.303544304,伪,35,337,9,6
60.499999433,163.987037975,伪,42,124,3,60.5
18.690109169,-0.350000000,伪,30,510,14,-46.5
44.286642212,161.116202532,伪,40,208,5,47
60.499983253,133.654746835,伪,42,110,3,60.5
69.942736599,98.277848101,伪,53,28,1,70
10.064862845,147.220544304,伪,35,367,9,6
-31.537994265,-23.244354430,伪,33,392,10,-5.8
29.891124177,25.585962025,伪,31,470,13,-37.5
10.453969781,11.596582278,伪,41,163,4,54
32.313584460,19.372088608,伪,40,181,5,47
-27.289399118,70.393810127,伪,32,442,12,-28
18.325732888,38.869367089,伪,42,112,3,60.5
34.335263740,158.467962025,伪,39,253,6,38
14.961009116,-35.409924051,伪,53,16,1,70
53.851656549,91.780696203,伪,41,160,4,54
6.797844297,160.662025316,伪,35,364,9,6
69.999988445,145.141265823,伪,53,30,1,70
18.665812784,30.464544304,伪,33,377,10,-5.8
20.275579632,34.105822785,伪,43,66,2,65.5
18.188996798,-27.131974684,伪,33,426,11,-17.5
-8.440493401,52.889797468,伪,33,409,11,-17.5
-46.499973065,128.778936709,伪,30,505,14,-46.5
20.725575427,22.559531646,伪,53,7,1,70
17.471999962,-70.474303797,伪,30,567,16,-60
28.499999953,166.824708861,伪,39,277,7,28.5
60.209275582,85.343721519,伪,42,117,3,60.5
45.863325841,64.669544304,伪,33,433,11,-17.5
62.183538412,157.363797468,伪,53,47,1,70
-59.999998185,146.291265823,伪,30,567,16,-60
-19.981533766,64.657670886,伪,32,454,12,-28
-27.999963181,170,伪,32,459,12,-28
51.874247753,80.958620253,伪,41,168,4,54
21.058998008,-50.091949367,伪,30,535,15,-54
21.069000443,-44.195215190,伪,39,265,7,28.5
40.692817377,68.322784810,伪,33,430,11,-17.5
-46.452569666,94.197974684,伪,30,524,14,-46.5
-46.499999984,170,伪,30,505,14,-46.5
-13.182694861,52.073974684,伪,33,389,10,-5.8
-1.698438077,30.552860759,伪,30,547,15,-54
-36.124149021,52.703873418,伪,30,534,15,-54
8.778539724,98.047088608,伪,33,431,11,-17.5
7.555351717,140.475670886,伪,32,461,12,-28
20.830220900,3.432873418,伪,40,192,5,47
17.904047350,16.765848101,伪,42,109,3,60.5
4.979250257,-6.262037975,伪,39,247,6,38
2.954679097,142.516708861,伪,32,462,12,-28
20.440000000,-93.944303797,伪,43,61,2,65.5
20.188919931,-25.927670886,伪,31,484,13,-37.5
8.514003738,13.205582278,伪,53,24,1,70
16.801405075,-17.735886076,伪,53,10,1,70
34.836211797,37.716708861,伪,43,55,2,65.5
-46.481372860,98.574911392,伪,30,518,14,-46.5
-25.761344406,164.631101266,伪,32,465,12,-28
-15.335440781,152.924303797,伪,32,468,12,-28
-5.799999956,157.681974684,伪,33,391,10,-5.8
16.317000002,-81.676265823,伪,41,150,4,54
19.673000000,-93.419822785,伪,53,14,1,70
-17.499929061,124.563291139,伪,33,425,11,-17.5
43.049663109,148.822303797,伪,43,91,2,65.5
19.709685411,21.589113924,伪,41,149,4,54
-27.403709679,116.106329114,伪,32,459,12,-28
20.452831308,27.350455696,伪,43,67,2,65.5
-8.630378837,55.240987342,伪,31,493,13,-37.5
-59.998651229,108.148582278,伪,30,563,16,-60
60.009323677,69.653025316,伪,42,100,3,60.5
18.549990745,-39.889620253,伪,30,568,16,-60
-14.382460671,41.912759494,伪,53,36,1,70
25.073430763,32.220253165,伪,43,58,2,65.5
8.386999999,-80.202,真,30,521,14,-46.5
-40.175999996,-72.561,真,41,168,4,54
-6.754564170,2.394544304,伪,41,158,4,54
-29.700846691,158.976202532,伪,31,500,13,-37.5
5.677096058,36.463772152,伪,32,453,12,-28
0.478817890,48.478405063,伪,32,450,12,-28
20.850000001,-88.665518987,伪,43,64,2,65.5
46.999999993,170,伪,40,188,5,47
,,,13,,140,
-32.207330601,10.985721519,伪,53,44,1,70
22.075222275,-14.461265823,伪,39,227,6,38
37.999726949,123.294367089,伪,39,246,6,38
69.999663766,134.663493671,伪,53,44,1,70
11.806750622,33.643012658,伪,30,518,14,-46.5
-3.448966059,-23.007088608,伪,41,157,4,54
60.497180547,102.446835443,伪,42,108,3,60.5
-24.635507929,60.075620253,伪,35,360,9,6
-17.319315856,129.049113924,伪,33,432,11,-17.5
17.999967067,129.591721519,伪,39,318,8,18
-5.238000001,-79.991,真,30,522,14,-46.5
-46.499995305,139.337,伪,30,510,14,-46.5
22.558458829,-14.999898734,伪,33,411,11,-17.5
20.189000000,-93.488936709,伪,31,484,13,-37.5
28.269762790,145.798278481,伪,40,209,5,47
12.929998403,-31.064430380,伪,35,353,9,6
60.449229545,84.460759494,伪,42,103,3,60.5
16.808622595,8.775734177,伪,39,235,6,38
16.801000002,-86.003481013,伪,53,10,1,70
-59.999993307,152.777113924,伪,30,580,16,-60
41.786943383,53.185620253,伪,42,128,3,60.5
14.772081438,2.940139241,伪,41,153,4,54
-15.364960238,-9.992354430,伪,33,389,10,-5.8
29.495603299,35.879113924,伪,53,25,1,70
-28.000029037,135.302683544,伪,32,457,12,-28
15.914516709,120.793,真,43,91,2,65.5
14.252297842,134.515696203,伪,35,364,9,6
45.954263000,168.816911392,伪,40,212,5,47
-35.420811312,166.475949367,伪,31,499,13,-37.5
-0.380832650,153.331430380,伪,33,400,10,-5.8
6.197036312,70.042873418,伪,35,341,9,6
-46.499905546,127.662291139,伪,30,517,14,-46.5
16.965376321,25.227189873,伪,39,235,6,38
65.499999842,156.392607595,伪,43,65,2,65.5
-13.778429923,36.573177215,伪,30,548,15,-54
5.350534990,9.913063291,伪,31,494,13,-37.5
46.999230194,110.361215190,伪,40,197,5,47
16.388999999,-90.088455696,伪,32,446,12,-28
-59.999989091,142.584405063,伪,30,579,16,-60
46.999999899,148.982151899,伪,40,181,5,47
14.788499739,138.925670886,伪,43,96,2,65.5
11.359778650,52.120632911,伪,39,319,8,18
26.187373824,-6.507088608,伪,33,379,10,-5.8
-1.004439208,65.273265823,伪,39,324,8,18
18.409999383,-46.376772152,伪,33,381,10,-5.8
36.759911468,28.391329114,伪,39,287,7,28.5
2.231985915,139.809341772,伪,32,460,12,-28
6.243704156,164.162405063,伪,35,368,9,6
68.171019651,89.870379747,伪,53,46,1,70
19.796000000,-97.384,真,35,348,9,6
65.499999682,153.013227848,伪,43,66,2,65.5
69.999999045,141.792101266,伪,53,2,1,70
31.714248869,60.952848101,伪,42,120,3,60.5
-27.984183245,136.316455696,伪,32,459,12,-28
28.499996642,141.053835443,伪,39,276,7,28.5
16.770000022,-71.212164557,伪,43,66,2,65.5
25.483953316,-31.466329114,伪,30,507,14,-46.5
20.869009064,-35.035189873,伪,40,188,5,47
17.787244014,140.516886076,伪,40,211,5,47
,,,11,,209,
37.845015015,74.428911392,伪,39,228,6,38
-3.224097700,157.637379747,伪,33,403,10,-5.8
38.824968763,17.432784810,伪,39,329,8,18
8.933000000,-79.733,真,39,281,7,28.5
-24.367622915,-5.756518987,伪,53,42,1,70
17.999899166,123.375063291,伪,39,318,8,18
-53.396567401,81.260911392,伪,30,547,15,-54
53.976696560,100.427924051,伪,41,158,4,54
18.678751976,-3.648544304,伪,32,445,12,-28
-16.894275333,152.014075949,伪,32,460,12,-28
27.476703797,-0.449367089,伪,30,508,14,-46.5
3.916532461,2.203544304,伪,53,30,1,70
-6.735172444,53.911443038,伪,39,321,8,18
12.915327685,140.065012658,伪,33,398,10,-5.8
30.415089907,55.396949367,伪,53,31,1,70
39.651398121,156.986025316,伪,40,212,5,47
-51.670305828,159.867139241,伪,30,588,16,-60
-17.500025616,138.146367089,伪,33,428,11,-17.5
31.475999974,-61.785848101,伪,39,307,8,18
17.999998821,154.550759494,伪,39,320,8,18
46.550004025,12.156632911,伪,43,85,2,65.5
-58.557158100,170,伪,30,587,16,-60
-44.611278034,74.218734177,伪,30,519,14,-46.5
35.303131682,55.880987342,伪,39,223,6,38
7.519203246,127.618810127,伪,39,336,8,18
65.499495261,112.347835443,伪,43,69,2,65.5
20.583238547,9.539620253,伪,53,9,1,70
57.550988257,154.204746835,伪,53,47,1,70
38.005373447,49.008962025,伪,33,435,11,-17.5
-5.705321652,147.615,伪,32,464,12,-28
16.693800958,47.908227848,伪,43,83,2,65.5
-13.527004782,-29.100759494,伪,30,578,16,-60
20.607529748,6.242835443,伪,39,305,8,18
-27.933238217,7.364569620,伪,43,81,2,65.5
6.000058481,131.183481013,伪,35,358,9,6
16.516154485,7.493873418,伪,39,266,7,28.5
9.933000855,-39.055632911,伪,39,276,7,28.5
67.832343527,167.722075949,伪,53,52,1,70
65.487494667,128.488797468,伪,43,83,2,65.5
-11.996371678,7.488151899,伪,43,76,2,65.5
69.999987831,132.473151899,伪,53,11,1,70
46.999999284,160.734898734,伪,40,203,5,47
8.293609253,21.145645570,伪,30,521,14,-46.5
20.790985207,-30.688075949,伪,35,339,9,6
-26.693959749,-0.312392405,伪,43,79,2,65.5
8.276999764,-43.715582278,伪,33,384,10,-5.8
-11.847000028,-47.426202532,伪,33,424,11,-17.5
42.989156955,56.528037975,伪,40,185,5,47
-34.638999958,-59.144936709,伪,42,122,3,60.5
9.845999997,-77.875670886,伪,30,574,16,-60
17.012448828,2.976367089,伪,39,229,6,38
3.994031480,-13.892544304,伪,39,316,8,18
21.058999999,-91.359189873,伪,30,535,15,-54
18.949000000,-96.233746835,伪,39,228,6,38
23.853021795,5.604708861,伪,33,372,10,-5.8
14.692186112,-18.400151899,伪,53,18,1,70
14.393621020,129.447594937,伪,43,93,2,65.5
19.414979735,29.108430380,伪,30,536,15,-54
2.387419821,50.257696203,伪,33,419,11,-17.5
-34.432901407,-0.894278481,伪,32,456,12,-28
-19.561023583,27.518987342,伪,39,323,8,18
37.994358467,97.111772152,伪,39,234,6,38
18.794657818,34.615696203,伪,35,348,9,6
12.227833221,137.291037975,伪,35,367,9,6
21.805436861,100.254987342,伪,39,329,8,18
26.580529387,33.943316456,伪,42,99,3,60.5
37.999999921,156.465164557,伪,39,233,6,38
-4.992000004,-71.079696203,伪,31,490,13,-37.5
,,,13,,149,
-46.499782399,125.660405063,伪,30,521,14,-46.5
,,,14,,120,
27.993897113,168.816151899,伪,39,293,7,28.5
17.675677170,138.152303797,伪,40,214,5,47
